name,description,centroid_lon,centroid_lat,bbox_west,bbox_south,bbox_east,bbox_north
SSMP-NIM-3/1851,,-1.5987499999785715,5.726130952376531,-1.6,5.725,-1.5966666667,5.7275
SSMP/6/2777,,-2.0412500000000002,6.551736111102083,-2.0441666667,6.5508333333,-2.0383333333,6.5525
SSMP-NIM-5/1845,,-0.8197916666875001,6.504479166640624,-0.8216666667,6.5033333333,-0.8183333333,6.5058333333
MC/SSMP/6/2429,,-1.5889166666620003,6.340083333326,-1.59,6.3391666667,-1.5875,6.3408333333
SSMP-NIM-6/1835,,-1.6800833333379999,6.262249999975999,-1.6808333333,6.2608333333,-1.6791666667,6.2633333333
SSMP-NIM-12/1849,,-2.11083333335,7.040416666699999,-2.1125,7.0391666667,-2.1091666667,7.0416666667
SSMP-NIM-6/1834,,-1.6804166667000002,6.267500000000001,-1.6816666667,6.2666666667,-1.6791666667,6.2683333333
SSMP-NIM-6/1833,,-1.6804166667000002,6.26916666665,-1.6816666667,6.2683333333,-1.6791666667,6.27
SSMP/3/1278,,-1.8283333333624998,6.027916666712501,-1.8291666667,6.0266666667,-1.8275,6.0291666667
SSMP-NIM-6/1832,,-1.6779166667000003,6.26916666665,-1.6791666667,6.2683333333,-1.6766666667,6.27
SSMP/6/2586,,-1.7631944444499996,6.231111111066666,-1.7641666667,6.2291666667,-1.7625,6.2333333333
SSMP-NIM-3/1838,,-1.8157291666781248,6.0204166666687495,-1.8166666667,6.0183333333,-1.815,6.0225
SSMP-NIM-3/1841,,-1.8087500000000003,6.02583333335,-1.81,6.0241666667,-1.8075,6.0275
SSMP-NIM-3/1840,,-1.8114772727347104,6.016704545442148,-1.8141666667,6.0158333333,-1.8091666667,6.0175
SSMP/5/2098,,-0.8554166667,6.26916666665,-0.8566666667,6.2675,-0.8541666667,6.2708333333
SSMP-NIM-3/1673,,-1.80858333335,6.024083333319999,-1.81,6.0233333333,-1.8075,6.025
SSMP/5/2095,,-0.85875,6.27,-0.86,6.2683333333,-0.8575,6.2716666667
SSMP/5/2096,,-0.85625,6.2641666666499995,-0.8575,6.2625,-0.855,6.2658333333
SSMP-NIM-3/1839,,-1.8110119047724484,6.015059523805102,-1.8125,6.0141666667,-1.8091666667,6.0158333333
MC/SSMP/3/1394,,-1.495583333362,5.859833333338001,-1.4966666667,5.8583333333,-1.4941666667,5.8616666667
SSMP/6/2776,,-2.038194444433333,6.554027777754164,-2.04,6.5525,-2.0358333333,6.5558333333
SSMP-NIM-12/1821,,-2.3995833333,6.6274999999999995,-2.4008333333,6.6258333333,-2.3983333333,6.6291666667
SSMP-NIM-3/1843,,-1.58375,5.74333333335,-1.585,5.7416666667,-1.5825,5.745
SSMP-NIM-6/1844,,-1.615,6.155416666699999,-1.6166666667,6.1541666667,-1.6133333333,6.1566666667
SSMP/6/2699,,-1.7255208333593746,6.293645833340624,-1.7266666667,6.2925,-1.7241666667,6.295
SSMP/5/2149,,-0.7024999999999999,6.348333333349999,-0.705,6.3475,-0.7,6.3491666667
MC/SSMP/5/2137,,-0.7022916666500001,6.3510416666500005,-0.7033333333,6.3491666667,-0.7008333333,6.3533333333
MC/SSMP/5/2150,,-0.7045833333,6.355000000000001,-0.7058333333,6.3533333333,-0.7033333333,6.3566666667
SSMP/5/2136,,-0.7020833333000001,6.3549999999999995,-0.7033333333,6.3533333333,-0.7008333333,6.3566666667
SSMP/5/1361,,-0.914097222213194,6.370763888900692,-0.9158333333,6.3691666667,-0.9125,6.3725
SSMP/5/1362,,-0.92166666665,6.3716666667,-0.9225,6.3691666667,-0.9208333333,6.3741666667
SSMP-NIM-5/1618,,-0.7125694444520834,6.341736111081251,-0.7141666667,6.34,-0.7108333333,6.3433333333
SSMP/11/11,,-2.323166666698,6.386583333374001,-2.3241666667,6.385,-2.3216666667,6.3891666667
MC./SSMP/6/2248,,-1.782175925898148,5.99476851849074,-1.7841666667,5.9933333333,-1.7808333333,5.9958333333
SSMP/ER/2115,,-0.6979166667,6.46,-0.6991666667,6.4583333333,-0.6966666667,6.4616666667
SSMP/ER/2110,,-0.6878409091231403,6.468219696980166,-0.6891666667,6.4666666667,-0.6866666667,6.47
SSMP/ER/2109,,-0.7274404761887756,6.452678571440817,-0.7283333333,6.4508333333,-0.7266666667,6.4541666667
MC./SSMP/5/2083,,-0.8615277777775,6.264583333300002,-0.863055555555,6.2633333333,-0.86,6.2658333333
SSMP/5/1354,,-0.45910714284081644,6.3591071428336745,-0.4608333333,6.3575,-0.4575,6.36
SSMP/6/2308,,-1.725083333326,6.033916666662,-1.7258333333,6.0325,-1.7241666667,6.035
SSMP/3/1334,,-2.0243055555444442,6.232361111105557,-2.025,6.2316666667,-2.0233333333,6.2333333333
SSMP/3/1262,,-1.831845238063265,6.026130952388775,-1.8333333333,6.025,-1.8308333333,6.0275
SSMP/9/374,,-0.8929166667000001,10.709999999999999,-0.8941666667,10.7083333333,-0.8916666667,10.7116666667
